thread_1_core,thread_2_core,period_1,period_2
9,57,0.333410,0.333416
9,58,0.333413,0.333414
9,59,0.333405,0.333419
9,60,0.333418,0.333421
9,61,0.333411,0.333419
9,62,0.333417,0.333420
9,63,0.333415,0.333422
9,64,0.333402,0.333418
9,65,0.333415,0.333418
9,66,0.333407,0.333416
9,67,0.333405,0.333416
9,68,0.333413,0.333418
9,69,0.333410,0.333419
9,70,0.333414,0.333417
9,71,0.333402,0.333416
10,0,0.333569,0.333558
10,1,0.333571,0.333571
10,2,0.333573,0.333566
10,3,0.333572,0.333568
10,4,0.333575,0.333575
10,5,0.333571,0.333574
10,6,0.333577,0.333575
10,7,0.333575,0.333579
10,8,0.333575,0.333578
10,9,0.333571,0.333571
10,11,0.333568,0.333568
10,12,0.333574,0.333578
10,13,0.333575,0.333575
10,14,0.333572,0.333575
10,15,0.333579,0.333573
10,16,0.333575,0.333576
10,17,0.333571,0.333575
10,18,0.333407,0.333418
10,19,0.333414,0.333418
10,20,0.333414,0.333417
10,21,0.333415,0.333418
10,22,0.333415,0.333418
10,23,0.333418,0.333419
10,24,0.333416,0.333417
10,25,0.333414,0.333417
10,26,0.333418,0.333419
10,27,0.333417,0.333418
10,28,0.333419,0.333420
10,29,0.333417,0.333419
10,30,0.333415,0.333416
10,31,0.333410,0.333416
10,32,0.333415,0.333421
10,33,0.333419,0.333420
10,34,0.333416,0.333416
10,35,0.333402,0.333415
10,36,0.333570,0.333567
10,37,0.333569,0.333573
10,38,0.333578,0.333581
10,39,0.333573,0.333569
10,40,0.333574,0.333578
10,41,0.333572,0.333570
10,42,0.333576,0.333545
10,43,0.333575,0.333578
10,44,0.333577,0.333577
10,45,0.333533,0.333571
10,46,0.334457,0.334444
10,47,0.333568,0.333571
10,48,0.333573,0.333571
10,49,0.333574,0.333574
10,50,0.333539,0.333569
10,51,0.333572,0.333538
10,52,0.333548,0.333580
10,53,0.333573,0.333572
10,54,0.333417,0.333418
10,55,0.333417,0.333417
10,56,0.333401,0.333419
10,57,0.333411,0.333417
10,58,0.333412,0.333415
10,59,0.333413,0.333418
10,60,0.333417,0.333419
10,61,0.333418,0.333418
10,62,0.333408,0.333416
10,63,0.333419,0.333420
10,64,0.333417,0.333418
10,65,0.333417,0.333419
10,66,0.333402,0.333416
10,67,0.333414,0.333416
10,68,0.333418,0.333420
10,69,0.333411,0.333420
10,70,0.333402,0.333417
10,71,0.333417,0.333418
11,0,0.333566,0.333566
11,1,0.333570,0.333570
11,2,0.333574,0.333574
11,3,0.333575,0.333575
11,4,0.333534,0.333533
11,5,0.333572,0.333575
11,6,0.333576,0.333576
11,7,0.333576,0.333578
11,8,0.333577,0.333581
11,9,0.333572,0.333562
11,10,0.333569,0.333568
11,12,0.333576,0.333576
11,13,0.333573,0.333545
11,14,0.333571,0.333574
11,15,0.333575,0.333575
11,16,0.333577,0.333581
11,17,0.333571,0.333574
11,18,0.333411,0.333420
11,19,0.333416,0.333417
11,20,0.333420,0.333421
11,21,0.333409,0.333418
11,22,0.333417,0.333419
11,23,0.333404,0.333420
11,24,0.333418,0.333420
11,25,0.333417,0.333419
11,26,0.333415,0.333420
11,27,0.333417,0.333418
11,28,0.333410,0.333418
11,29,0.333418,0.333418
11,30,0.333417,0.333419
11,31,0.333415,0.333417
11,32,0.333419,0.333421
11,33,0.333408,0.333420
11,34,0.333411,0.333418
11,35,0.333405,0.333417
11,36,0.333574,0.333574
11,37,0.333573,0.333576
11,38,0.333578,0.333577
11,39,0.333536,0.333574
11,40,0.333574,0.333577
11,41,0.333570,0.333570
11,42,0.333572,0.333577
11,43,0.333575,0.333579
11,44,0.333582,0.333582
11,45,0.333544,0.333573
11,46,0.333547,0.333573
11,47,0.334239,0.334441
11,48,0.333577,0.333577
11,49,0.333574,0.333577
11,50,0.333573,0.333578
11,51,0.333580,0.333580
11,52,0.333552,0.333581
11,53,0.333550,0.333571
11,54,0.333417,0.333419
11,55,0.333414,0.333420
11,56,0.333416,0.333421
11,57,0.333418,0.333419
11,58,0.333402,0.333419
11,59,0.333406,0.333421
11,60,0.333414,0.333419
11,61,0.333400,0.333417
11,62,0.333413,0.333416
11,63,0.333416,0.333421
11,64,0.333415,0.333418
11,65,0.333408,0.333416
11,66,0.333413,0.333417
11,67,0.333413,0.333418
11,68,0.333404,0.333420
11,69,0.333418,0.333418
11,70,0.333414,0.333419
11,71,0.333414,0.333419
12,0,0.333572,0.333497
12,1,0.333578,0.333579
12,2,0.333578,0.333577
12,3,0.333574,0.333577
12,4,0.333581,0.333582
12,5,0.333575,0.333580
12,6,0.333575,0.333578
12,7,0.333584,0.333584
12,8,0.333581,0.333581
12,9,0.333575,0.333572
12,10,0.333576,0.333576
12,11,0.333575,0.333552
12,13,0.333581,0.333581
12,14,0.333573,0.333578
12,15,0.333579,0.333579
12,16,0.333582,0.333583
12,17,0.333548,0.333581
12,18,0.333415,0.333421
12,19,0.333413,0.333419
12,20,0.333420,0.333420
12,21,0.333409,0.333420
12,22,0.333420,0.333419
12,23,0.333418,0.333419
12,24,0.333415,0.333421
12,25,0.333412,0.333417
12,26,0.333418,0.333417
12,27,0.333418,0.333420
12,28,0.333412,0.333417
12,29,0.333413,0.333417
12,30,0.333419,0.333419
12,31,0.333416,0.333417
12,32,0.333408,0.333419
12,33,0.333416,0.333418
12,34,0.333419,0.333418
12,35,0.333416,0.333417
12,36,0.333575,0.333570
12,37,0.333576,0.333576
12,38,0.333569,0.333577
12,39,0.333574,0.333579
12,40,0.333578,0.333581
12,41,0.333558,0.333578
12,42,0.333576,0.333579
12,43,0.333543,0.333579
12,44,0.333580,0.333553
12,45,0.333538,0.333576
12,46,0.333578,0.333578
12,47,0.333547,0.333577
12,48,0.334283,0.334455
12,49,0.333552,0.333582
12,50,0.333577,0.333576
12,51,0.333579,0.333584
12,52,0.333557,0.333586
12,53,0.333578,0.333535
12,54,0.333405,0.333422
12,55,0.333408,0.333417
12,56,0.333420,0.333420
12,57,0.333401,0.333419
12,58,0.333415,0.333420
12,59,0.333416,0.333420
12,60,0.333419,0.333418
12,61,0.333417,0.333421
12,62,0.333414,0.333420
12,63,0.333418,0.333418
12,64,0.333413,0.333418
12,65,0.333414,0.333420
12,66,0.333413,0.333417
12,67,0.333406,0.333420
12,68,0.333416,0.333419
12,69,0.333410,0.333420
12,70,0.333415,0.333420
12,71,0.333416,0.333416
13,0,0.333573,0.333573
13,1,0.333576,0.333576
13,2,0.333577,0.333581
13,3,0.333577,0.333577
13,4,0.333572,0.333577
13,5,0.333570,0.333574
13,6,0.333528,0.333576
13,7,0.333576,0.333581
13,8,0.333579,0.333583
13,9,0.333573,0.333559
13,10,0.333572,0.333575
13,11,0.333580,0.333580
13,12,0.333574,0.333578
13,14,0.333574,0.333574
13,15,0.333583,0.333583
13,16,0.333580,0.333585
13,17,0.333575,0.333575
13,18,0.333418,0.333420
13,19,0.333415,0.333414
13,20,0.333419,0.333419
13,21,0.333410,0.333415
13,22,0.333416,0.333417
13,23,0.333415,0.333416
13,24,0.333417,0.333419
13,25,0.333416,0.333417
13,26,0.333417,0.333418
13,27,0.333418,0.333418
13,28,0.333406,0.333420
13,29,0.333406,0.333419
13,30,0.333418,0.333418
13,31,0.333415,0.333417
13,32,0.333418,0.333418
13,33,0.333417,0.333417
13,34,0.333399,0.333416
13,35,0.333412,0.333420
13,36,0.333575,0.333575
13,37,0.333574,0.333577
13,38,0.333578,0.333578
13,39,0.333573,0.333578
13,40,0.333577,0.333581
13,41,0.333506,0.333575
13,42,0.333548,0.333579
13,43,0.333553,0.333581
13,44,0.333581,0.333578
13,45,0.333572,0.333571
13,46,0.333575,0.333575
13,47,0.333574,0.333579
13,48,0.333575,0.333574
13,49,0.334471,0.334470
13,50,0.333552,0.333578
13,51,0.333581,0.333584
13,52,0.333581,0.333584
13,53,0.333581,0.333581
13,54,0.333416,0.333418
13,55,0.333417,0.333418
13,56,0.333419,0.333417
13,57,0.333419,0.333419
13,58,0.333412,0.333420
13,59,0.333404,0.333421
13,60,0.333416,0.333417
13,61,0.333415,0.333417
13,62,0.333418,0.333418
13,63,0.333418,0.333421
13,64,0.333418,0.333416
13,65,0.333409,0.333415
13,66,0.333410,0.333416
13,67,0.333415,0.333417
13,68,0.333417,0.333418
13,69,0.333405,0.333416
